dataset,exog,loss,checkpoint,anchoring,corr_mean,corr_std,mse_mean,mse_std,improve_mean,improve_std,seg_mse_median_mean,n_folds_present,n_folds_corr_valid,n_folds_mse_valid,n_folds_all_horizons,n_folds_expected,eval_version,eval_code_hash
old,none,huber,best_corr,raw,0.7034,0.1287,63019.9049,33228.5208,-2008.2247,1111.6041,48246.3656,3,3,3,3,3,v1-corr-skip-constant,2569904e
old,none,huber,best_mse,anchored,0.9696,0.028,7029.6407,7591.971,-135.1648,253.9766,3865.1432,3,3,3,3,3,v1-corr-skip-constant,2569904e
old,none,huber,best_mse,persistence,0.9804,0.0,2989.2405,0.0,0.0,0.0,93.8009,3,3,3,3,3,v1-corr-skip-constant,2569904e
old,none,huber,best_mse,raw,0.7464,0.0419,59872.8164,17478.1481,-1902.9441,584.702,47025.7832,3,3,3,3,3,v1-corr-skip-constant,2569904e
old,none,mse,best_corr,anchored,0.9534,0.0415,11339.0745,10543.6057,-279.3296,352.7185,5613.6308,3,3,3,3,3,v1-corr-skip-constant,2569904e
old,none,mse,best_corr,persistence,0.9804,0.0,2989.2405,0.0,0.0,0.0,93.8009,3,3,3,3,3,v1-corr-skip-constant,2569904e
old,none,mse,best_corr,raw,0.7379,0.0741,55167.6979,15516.787,-1745.5423,519.0879,43426.0742,3,3,3,3,3,v1-corr-skip-constant,2569904e
old,none,mse,best_mse,anchored,0.9721,0.0228,6923.6676,6969.9066,-131.6196,233.1665,4280.2322,3,3,3,3,3,v1-corr-skip-constant,2569904e
old,none,mse,best_mse,persistence,0.9804,0.0,2989.2405,0.0,0.0,0.0,93.8009,3,3,3,3,3,v1-corr-skip-constant,2569904e
old,none,mse,best_mse,raw,0.7538,0.0371,67102.0247,23836.6758,-2144.7851,797.4158,56558.0732,3,3,3,3,3,v1-corr-skip-constant,2569904e
